word,is_positive
充滿智慧,True
夢想成真,True
超越自我,True
與眾不同,True
簡潔有力,True
至善至美,True
剛正不阿,True
細膩溫柔,True
無窮魅力,True
舉世無雙,True
勇往直前,True
嚴謹細膩,True
尊重包容,True
美不勝收,True
愛心滿滿,True
溫柔體貼,True
魅力無限,True
氣宇軒昂,True
擇善而行,True
堅韌不屈,True
無敵風範,True
碧海藍天,True
心靈手巧,True
精確無比,True
無所畏懼,True
理性思維,True
熱愛生活,True
心曠神怡,True
歡聲笑語,True
點石成金,True
無限創意,True
激勵人心,True
純真無邪,True
出乎意料,True
親切友善,True
完美和諧,True
登峰造極,True
幸福滿滿,True
光彩奪目,True
踏實穩重,True
溫婉,True
溫暖如春,True
百戰不殆,True
充滿激情,True
如魚得水,True
內外兼修,True
深入人心,True
笑容可掬,True
妙不可言,True
情深義重,True
碩果累累,True
海納百川,True
匠心獨運,True
靜謐幽深,True
與時俱進,True
心情愉悅,True
溫馨浪漫,True
豪情壯志,True
靜心修養,True
可愛迷人,True
極具魄力,True
美好回憶,True
細膩柔和,True
善於傾聽,True
意氣昂揚,True
滿懷信心,True
一諾千金,True
完美演繹,True
耀眼光芒,True
成就非凡,True
堅韌不拔,True
千錘百煉,True
千嬌百媚,True
無限可能,True
陽光明媚,True
信守承諾,True
英勇無比,True
絕世佳作,True
魅力無窮,True
潛力無窮,True
高瞻遠矚,True
生機盎然,True
活力四射,True
淋漓盡致,True
簡潔大方,True
動人心弦,True
天賦異稟,True
熱情周到,True
高貴典雅,True
志在四方,True
熱情似火,True
無怨無悔,True
大有可為,True
超凡脫俗,True
鋒芒畢露,True
繁花似錦,True
踏實肯幹,True
英姿颯爽,True
儒雅隨和,True
熱情洋溢,True
義無反顧,True
別具匠心,True
燦爛陽光,True
高效執行,True
悠然自得,True
充滿生機,True
活潑開朗,True
和顏悅色,True
溫暖明亮,True
百折不撓,True
妙筆生花,True
溫暖人心,True
純潔無瑕,True
百花齊放,True
凝神聚氣,True
充滿勇氣,True
雄心壯志,True
氣定神閒,True
令人滿意,True
勵精圖治,True
栩栩如生,True
笑口常開,True
光輝燦爛,True
蒸蒸日上,True
充滿樂趣,True
真情流露,True
發自內心,True
語言優美,True
細膩動人,True
如沐春風,True
理想化,True
勇敢無畏,True
充滿希望,True
完美無暇,True
一絲不苟,True
誠意十足,True
腳踏實地,True
激情洋溢,True
寧靜致遠,True
優雅從容,True
心平氣和,True
豐功偉績,True
專注專業,True
語言豐富,True
勤奮努力,True
感天動地,True
自信滿滿,True
飽滿熱情,True
才貌雙全,True
無畏無懼,True
溫文爾雅,True
彬彬有禮,True
志同道合,True
宏偉,True
暖心,True
純厚,True
大方,True
順暢,True
誠實,True
泰然,True
真實,True
純粹,True
俠義,True
平寧,True
平衡,True
繁茂,True
謙恭,True
澄靜,True
高雅,True
和悅,True
明麗,True
敬佩,True
靜謐,True
高潔,True
堅決,True
周到,True
圓潤,True
安詳,True
博學,True
可親,True
悠長,True
直爽,True
無憂,True
通透,True
端方,True
平易,True
和順,True
率性,True
盡力,True
豁然,True
穩健,True
平順,True
敦厚,True
深邃,True
沉穩,True
可靠,True
流暢,True
善意,True
滿意,True
充裕,True
開明,True
祥瑞,True
勇敢,True
正直,True
自豪,True
欣慰,True
仁愛,True
瀟灑,True
平穩,True
誠信,True
純樸,True
明智,True
順利,True
仁德,True
幽深,True
有序,True
無憾,True
善解,True
恬靜,True
溫潤,True
祥和,True
典範,True
冷靜,True
坦誠,True
敏銳,True
豐盛,True
誠樸,True
親善,True
清凈,True
雍容,True
舒暢,True
順心,True
靜雅,True
明確,True
可敬,True
心靜,True
莊嚴,True
精準,True
正氣,True
純良,True
和暖,True
至誠,True
欣欣,True
清爽,True
寬心,True
俊秀,True
淡泊,True
崇高,True
坦蕩,True
高超,True
端莊,True
靜穆,True
正義,True
坦然,True
雅致,True
柔順,True
怡情,True
盡善,True
大度,True
友誼,True
清幽,True
高明,True
妙趣,True
優質,True
炫麗,True
俊美,True
安穩,True
超群,True
淡雅,True
欣然,True
仁厚,True
卓絕,True
溫和,True
淳厚,True
順和,True
和睦,True
悠然,True
卓然,True
莊重,True
端正,True
健康,True
美觀,True
陽剛,True
崇敬,True
奮發,True
正面,True
厚道,True
和美,True
氣勢,True
隨和,True
堅忍,True
秀麗,True
妙趣橫生,True
明晰,True
堅實,True
堅毅,True
高遠,True
仁義,True
平實,True
謙遜,True
安寧,True
坦率,True
率直,True
怡悅,True
挺秀,True
積極,True
靜好,True
明朗,True
安和,True
淳樸,True
超凡,True
寧和,True
豪邁,True
聰慧,True
光榮,True
上進,True
超越,True
剛強,True
平和,True
馴良,True
寧靜,True
晴朗,True
睿智,True
高效,True
安祥,True
心安,True
氣宇,True
寬大,True
創新,True
氣派,True
珍稀,True
安靜,True
純美,True
靈性,True
新鮮,True
堅固,True
穩固,True
爽快,True
勤勞,True
澎湃,True
知性,True
昂揚,True
安心,True
炫目,True
豐碩,True
無畏,True
圓融,True
平等,True
剛直,True
專長,True
繁榮,True
珍重,True
清純,True
美滿,True
有愛,True
快意,True
絕佳,True
充沛,True
誠意,True
滿足,True
舒心,True
生動,True
慈善,True
靈動,True
無暇,True
優良,True
雄壯,True
俐落,True
清靜,True
堅持,True
敬仰,True
振興,True
強健,True
懷念,True
澄淨,True
才華,True
圓滿,True
剛健,True
清明,True
新奇,True
無比,True
光輝,True
清涼,True
出類,True
靈巧,True
豐厚,True
專業,True
灑脫,True
柔軟,True
順意,True
美妙,True
快活,True
英勇,True
光亮,True
歡喜,True
愛護,True
珍惜,True
明瞭,True
吉祥,True
專一,True
驚豔,True
果敢,True
爽朗,True
秀美,True
英俊,True
靜心,True
動人,True
欣悅,True
耐力,True
幽靜,True
慈愛,True
赤誠,True
成就,True
貧困,False
懊悔,False
傲慢,False
絕情,False
悔恨,False
失意,False
自卑,False
失敗,False
凌亂,False
枯燥,False
驚恐,False
遲疑,False
內疚,False
困擾,False
懦弱,False
恥辱,False
懶惰,False
僵持,False
欺騙,False
荒唐,False
陰沉,False
怨念,False
缺陷,False
迷惑,False
惶惶,False
疲憊,False
妄想,False
厭惡,False
逼迫,False
冷戰,False
灰敗,False
怨氣,False
衝擊,False
疲累,False
阻撓,False
動亂,False
悽慘,False
動搖,False
放棄,False
陰險,False
失誤,False
冷落,False
不幸,False
狹隘,False
焦急,False
僥倖,False
孤寂,False
背叛,False
羞赧,False
抗拒,False
膽怯,False
失措,False
煩躁,False
浮躁,False
瘋狂,False
凋零,False
忿怒,False
悲苦,False
糾結,False
殘忍,False
冷酷,False
拖延,False
乏味,False
心痛,False
淒厲,False
偏激,False
憂心,False
虛榮,False
壓抑,False
僵局,False
傷心,False
迷茫,False
荒謬,False
衝突,False
壓迫,False
殘暴,False
嚴酷,False
損害,False
虧損,False
倦怠,False
殘缺,False
冷硬,False
冷淡,False
貧弱,False
猶豫,False
凌駕,False
抑鬱,False
不安,False
羞辱,False
焦躁,False
麻木,False
怠慢,False
陰鬱,False
痛苦,False
茫然,False
疏離,False
疲倦,False
疑惑,False
不忠,False
悲觀,False
妒忌,False
艱難,False
自私,False
嚴峻,False
慘淡,False
懶散,False
懼怕,False
孤單,False
虛假,False
困苦,False
僵硬,False
煩憂,False
悲戚,False
昏沉,False
挫折,False
隔閡,False
失控,False
貶低,False
惡劣,False
矛盾,False
暴躁,False
危險,False
愧疚,False
瘋顛,False
欺瞞,False
困頓,False
不悅,False
衰敗,False
消亡,False
虧欠,False
慘烈,False
氣餒,False
疑懼,False
艱苦,False
憎恨,False
貧瘠,False
驚懼,False
腐敗,False
混亂,False
怨懟,False
挫敗,False
苦悶,False
疏忽,False
厭煩,False
敗壞,False
壓力,False
淒涼,False
反感,False
憂鬱,False
僵化,False
羞恥,False
苦惱,False
嫉妒,False
衰退,False
憤怒,False
愚昧,False
消沉,False
輕蔑,False
疑慮,False
昏暗,False
暗淡,False
焦慮,False
麻煩,False
惡毒,False
惶恐,False
冷峻,False
冷峭,False
沉重,False
忌妒,False
失常,False
糾紛,False
恐怖,False
陰暗,False
誤解,False
悲哀,False
低迷,False
怯懦,False
緊繃,False
疲軟,False
寂寞,False
怠惰,False
沉悶,False
惡化,False
失望,False
混沌,False
疲乏,False
頹廢,False
脆弱,False
空虛,False
孤獨,False
慌亂,False
煩悶,False
謬誤,False
枯槁,False
鬱悶,False
吵鬧,False
破滅,False
壓榨,False
冷嘲,False
不堪,False
心酸,False
孤苦,False
恐懼,False
怨恨,False
排斥,False
迷失,False
破壞,False
困惑,False
淒然,False
冷漠,False
淒楚,False
苦澀,False
冷清,False
刺痛,False
卑劣,False
陰毒,False
沮喪,False
悲傷,False
潰敗,False
殘酷,False
厭倦,False
頹靡,False
灰心,False
不和,False
苦痛,False
煩惱,False
絕望,False
欺壓,False
無聊,False
低劣,False
貪婪,False
消極,False
險惡,False
虛弱,False
欺詐,False
恐慌,False
悲慘,False
折磨,False
吝嗇,False
無力,False
失落,False
緊張,False
錯誤,False
不滿,False
惱怒,False
黯然,False
缺乏,False
孤立,False
暗傷,False
焦灼,False
憤懣,False
蹉跎,False
憂慮,False
衰弱,False
搖擺,False
空洞,False
疏遠,False
挑釁,False
退縮,False
卑微,False
黑暗,False
心悸,False
複雜,False
絕境,False
拖累,False
敗退,False
淒慘,False
破碎,False
陰冷,False
迫害,False
低落,False
暗黑,False
驚慌,False
弱小,False
危難,False
濃霧,False
失策,False
落寞,False
不適,False
怨艾,False
怯弱,False
錯亂,False
膽戰,False
盲目,False
挫傷,False
喪志,False
悲涼,False
狼狽,False
慘敗,False
孤僻,False
怨毒,False
沉淪,False
虛偽,False
怨憤,False
危機,False
愚笨,False
憂愁,False
昏庸,False
凋敝,False
無助,False
滄桑,False
黯淡,False
衰竭,False
侵害,False
窒息,False
凌辱,False
迷惘,False
喪氣,False
酸痛,False
痛心,False
昏迷,False
破產,False
淒清,False
悲憤,False
阻塞,False
潰散,False
惘然,False
懈怠,False
失衡,False
忐忑,False
貧寒,False
灰暗,False
低俗,False
害怕,False
病痛,False
苦楚,False
酸楚,False
淒風,False
寒冷,False
無能,False
粗暴,False
悽涼,False
虛幻,False
心煩,False
拖沓,False
消散,False
低沉,False
荒廢,False
荒誕,False
畏縮,False
崩潰,False
喪失,False
疲弱,False
淒迷,False
動盪,False
癱瘓,False
無用,False
孤零,False
亂象,False
阻礙,False
衰落,False
淒婉,False
流離,False
瘋癲,False
蒙難,False
亂糟,False
頹敗,False
懊惱,False
失足,False
哀愁,False
乏力,False
擔憂,False
憂傷,False
破敗,False
頹喪,False
愁容,False
嫉恨,False
受傷,False
薄弱,False
困厄,False
自負,False
迫切,False
哀怨,False
紛擾,False
頹唐,False
冷血,False
負擔,False
荒涼,False
哀傷,False
陰霾,False
寒心,False
痛楚,False
艱辛,False
扭曲,False
心冷,False
錯愕,False
抑郁,False
無奈,False
惶惑,False
蠻橫,False
殘破,False
驚悚,False
心寒,False
膽小,False
節奏斷裂,False
過於追求政治正確,False
故事情節過於複雜,False
轉折牽強,False
低俗,False
過於誇張,False
強行,False
拖拉,False
過於依賴背景音樂,False
人物弧光不足,False
場景平庸,False
欠考究,False
缺乏創意,False
角色刻板,False
結局草率,False
糟糕,False
庸俗,False
對白過於平淡,False
語言平淡無奇,False
角色行為不合理,False
過於追求形式,False
結構紊亂,False
呆板,False
氣氛不協調,False
缺乏真實感,False
無吸引力,False
過於迎合市場,False
不平衡,False
不真實,False
不通,False
無章,False
模糊,False
缺乏衝突,False
設計粗糙,False
混淆,False
做作,False
剪接混亂,False
重複性高,False
光影不協調,False
感情線模糊,False
劇情發展過於慢,False
單薄人物,False
視覺疲勞,False
單調,False
人物扁平,False
背景生硬,False
敘事混亂,False
人物形象薄弱,False
過於俗套,False
場面不真實,False
劇情生硬,False
缺乏情感,False
情感空洞,False
剪輯突兀,False
畫面劣質,False
粗糙,False
膚淺,False
情節過於簡單,False
剪輯過於跳躍,False
缺乏視覺衝擊,False
佈景僵硬,False
刻板,False
過於追求視效,False
拖拉沉悶,False
動作僵硬,False
結局失衡,False
情感波動不足,False
音效不協調,False
角色動機不清,False
拖沓,False
演技過於誇張,False
特效過分,False
情感表達過於敷衍,False
平庸,False
感情用事,False
場景單調,False
落伍,False
缺乏人物成長,False
特效過於人工化,False
生硬,False
聲音刺耳,False
對白不自然,False
情感鋪墊不足,False
錯漏百出,False
陳腐,False
細節缺失,False
夸張,False
劇情轉折過於突兀,False
台詞尷尬,False
缺乏結構,False
表達過於直白,False
表演僵硬,False
情節矛盾,False
角色模糊,False
不自然,False
敷衍,False
糊塗,False
脫節,False
雷同,False
收尾粗糙,False
邏輯漏洞,False
主題空洞,False
過時,False
畫面質感不足,False
人物缺乏深度,False
氛圍營造不足,False
單薄,False
劇情過於平淡,False
不符邏輯,False
冗長,False
色彩單調,False
刻意,False
劇情過薄,False
呆滯,False
遲鈍,False
過於依賴笑點,False
角色間缺乏化學反應,False
表現用力過猛,False
故事拖沓,False
背景說明不足,False
音樂過於突出,False
無趣,False
細節描述過於簡單,False
場景生硬,False
動作生硬,False
觀感失衡,False
人物浮誇,False
氣氛失調,False
情感表達過於生硬,False
視覺不統一,False
劇情破綻,False
缺乏節奏,False
畫面凌亂,False
牽強,False
冗長乏味,False
薄弱,False
角色失真,False
過於浮誇,False
台詞平淡,False
俗氣,False
苟且,False
邏輯混亂,False
空泛,False
沒深度,False
糊弄,False
敘事手法單一,False
動機不明,False
場面過於零散,False
特效廉價,False
敘事僵化,False
無意義,False
攝影死板,False
拖累,False
過於公式化,False
情節單薄,False
角色刻板,False
劇情平淡,False
對白乏味,False
邏輯混亂,False
結構鬆散,False
演技僵硬,False
節奏拖沓,False
氛圍不足,False
畫面單調,False
視覺效果低劣,False
情感空洞,False
劇情牽強,False
結尾草率,False
角色發展不充分,False
場景重複,False
特效粗糙,False
配樂刺耳,False
敘事散亂,False
背景設置不足,False
故事冗長,False
缺乏創意,False
細節敷衍,False
衝突不明顯,False
人物弧光缺失,False
過於教條,False
過度煽情,False
刻意賣弄,False
台詞平庸,False
氛圍尷尬,False
過於依賴特效,False
情節過時,False
轉折不自然,False
背景說明不足,False
情感鋪墊薄弱,False
角色動機模糊,False
敘事線索斷裂,False
過於追求形式,False
特效喧賓奪主,False
視覺風格呆板,False
畫質不均,False
角色定位矛盾,False
劇情缺乏張力,False
敘事模式化,False
背景不真實,False
情感過於表面化,False
結局無新意,False
台詞內容膚淺,False
人物互動生硬,False
情節設計過於簡單,False
場景切換突兀,False
細節處理粗糙,False
動作戲平淡,False
過於依賴對白,False
敘事過於零碎,False
主題表達模糊,False
場面調度失衡,False
故事缺乏層次,False
人物設定單一,False
角色邏輯不通,False
場景佈局缺乏創意,False
背景音樂突兀,False
特效使用過於頻繁,False
剪輯過於草率,False
氛圍營造單調,False
敘事風格老套,False
劇情發展緩慢,False
人物行為不合理,False
台詞缺乏情感,False
結構設計僵硬,False
角色缺乏共鳴,False
特效過度使用,False
視覺元素過於混亂,False
動作場面缺乏亮點,False
情感轉折生硬,False
背景故事過於簡單,False
敘事過於依賴旁白,False
角色形象模糊,False
台詞設計無趣,False
故事發展缺乏高潮,False
視覺效果陳舊,False
特效過於依賴科技,False
音效設計失衡,False
氛圍營造過於刻意,False
敘事過於直白,False
角色間互動生硬,False
結尾缺乏衝擊力,False
動作設計缺乏流暢,False
故事主線模糊,False
視覺風格單一,False
情節節奏過慢,False
背景設置不完整,False
特效場景過於程式化,False
情感描寫缺乏深度,False
主題內容過於直白,False
劇情結構不穩定,False
視覺表現過於平庸,False
敘事節奏不連貫,False
特效設計過於敷衍,False
情節內容缺乏亮點,False
角色動機設計單薄,False
故事背景設定不足,False
情節缺乏吸引力,False
角色設計單薄,False
劇情轉折突兀,False
場景變化不自然,False
特效表現過於生硬,False
情感表達模糊,False
剪輯風格失衡,False
故事背景過於陳舊,False
主題表現單一,False
動作設計缺乏張力,False
對白重複冗長,False
角色行為缺乏邏輯,False
敘事過於依賴旁白,False
畫面缺乏視覺衝擊,False
劇情發展毫無驚喜,False
情節推進緩慢,False
人物互動不自然,False
音效處理不精細,False
氛圍營造不足,False
結尾過於草率,False
場面調度缺乏創意,False
角色間缺乏化學反應,False
故事進展過於模式化,False
背景敘事不充分,False
情感鋪墊欠缺,False
主題設計過於模板化,False
特效過於程式化,False
視覺效果過於單調,False
場景設計過於繁瑣,False
人物動機設定不明,False
剪輯過於草率,False
情感轉折過於刻意,False
敘事節奏不連貫,False
畫面質感欠缺,False
音樂搭配不協調,False
角色塑造缺乏真實感,False
劇情架構單調,False
氛圍設計過於浮誇,False
特效場景過於密集,False
背景故事缺乏完整性,False
故事發展過於沉悶,False
對白內容欠缺深度,False
角色形象過於呆板,False
劇情節奏過於緩慢,False
主題傳達欠缺深度,False
場景切換突兀,False
角色設定過於公式化,False
故事內容缺乏層次感,False
情感描寫過於直白,False
視效風格不統一,False
特效使用過於重複,False
劇情邏輯不合常理,False
角色弧光設計不足,False
氛圍營造過於程式化,False
敘事手法缺乏變化,False
視覺元素過於單調,False
故事情節過於俗套,False
特效表現缺乏原創性,False
人物背景說明不足,False
主題處理過於表面化,False
角色間情感聯繫薄弱,False
敘事結構過於死板,False
故事發展缺乏高潮,False
音效使用不平衡,False
情節描述過於簡略,False
角色性格變化生硬,False
主題設計毫無新意,False
場面調度不協調,False
故事主線模糊,False
特效處理欠缺精細,False
背景音樂過於突兀,False
劇情推進過於緩慢,False
角色間互動無趣,False
畫面處理過於平淡,False
場景設計缺乏吸引力,False
情節鋪陳過於瑣碎,False
對白表現欠缺感情,False
視覺呈現不協調,False
特效搭配與劇情脫節,False
敘事邏輯混亂,False
氛圍設計過於單一,False
角色情感表現匱乏,False
特效過於浮誇,False
故事背景設置過於簡陋,False
場景切換不順暢,False
劇情架構過於公式化,False
特效場面設計無亮點,False
敘事表現過於生硬,False
人物情感缺乏層次感,False
音效設計不符合場景,False
主題挖掘深度不足,False
劇情發展無波瀾,False
角色對白過於直白,False
敘事設計過於單一,False
場景氛圍過於枯燥,False
角色行為邏輯不清晰,False
畫面元素過於雜亂,False
故事結構設計不緊湊,False
特效運用過於刻意,False
角色塑造過於符號化,False
音樂與場景契合度低,False
氛圍刻意營造過重,False
故事結尾缺乏亮點,False
主題深度表現不充分,False
剪輯節奏過於混亂,False
角色間化學反應不足,False
劇情高潮點設計缺乏,False
特效設計過於依賴科技,False
人物刻畫不夠生動,False
敘事重複性高,False
畫面視覺效果沉悶,False
特效細節處理草率,False
情感鋪墊缺乏層次,False
音樂節奏與劇情不匹配,False
背景故事表現欠缺吸引力,False
故事推進過於平淡,False
氛圍渲染缺乏創意,False
敘事結構過於僵硬,False
場景調度設計呆板,False
角色發展曲線不清晰,False
特效效果過於單一,False
故事核心表現乏善可陳,False
情節起伏過於平淡,False
畫面美感欠缺吸引力,False
主題內容呈現過於直白,False
視效場景過於程式化,False
音樂設計過於單一化,False
角色情感描寫缺乏深度,False
背景設定過於呆板,False
枯燥,False
黯淡,False
乏味,False
陰沉,False
僵硬,False
破碎,False
無序,False
矛盾,False
拖沓,False
無助,False
緊張,False
焦躁,False
煩悶,False
無趣,False
狹隘,False
模糊,False
壓抑,False
無力,False
刺耳,False
單薄,False
空洞,False
暗淡,False
衝突,False
崩潰,False
沉悶,False
無聊,False
悔恨,False
怨恨,False
恐懼,False
懶散,False
倦怠,False
破滅,False
低迷,False
憤怒,False
煩躁,False
膽怯,False
頹廢,False
陰鬱,False
拖累,False
疏離,False
失控,False
鬱悶,False
壓迫,False
倉促,False
孤單,False
淒涼,False
挫敗,False
糟糕,False
失望,False
無奈,False
不安,False
脆弱,False
寒冷,False
迷茫,False
缺乏,False
膚淺,False
無意義,False
草率,False
沉重,False
陰險,False
煩惱,False
恐慌,False
混亂,False
荒唐,False
僵化,False
遲疑,False
滯後,False
失落,False
黯然,False
失衡,False
沉悶,False
苟且,False
疲乏,False
惶恐,False
煩憂,False
冷漠,False
瘋狂,False
荒涼,False
憂鬱,False
恥辱,False
怠惰,False
淒厲,False
不堪,False
內疚,False
悲慘,False
疲憊,False
損壞,False
疲弱,False
昏暗,False
孤立,False
虛假,False
荒廢,False
憤懣,False
失策,False
混沌,False
衰弱,False
枯槁,False
錯誤,False
怯懦,False
錯亂,False
蒼白,False
腐朽,False
遲鈍,False
僵局,False
困惑,False
壓榨,False
心悸,False
無情,False
昏迷,False
陰冷,False
脆弱,False
謬誤,False
破敗,False
僵持,False
孤寂,False
憂心,False
愚鈍,False
冷峻,False
呆滯,False
崩壞,False
憎恨,False
衰退,False
惘然,False
惱怒,False
殘酷,False
粗糙,False
枯乾,False
殘破,False
消極,False
失意,False
昏沉,False
無奈,False
殘忍,False
蠻橫,False
憂傷,False
羞辱,False
苦澀,False
苦悶,False
退縮,False
撕裂,False
畏懼,False
冷酷,False
無能,False
陰霾,False
悲戚,False
困頓,False
壓抑,False
混淆,False
倉皇,False
疲倦,False
滄桑,False
難堪,False
疏遠,False
欺瞞,False
失敗,False
逼迫,False
冷清,False
崩潰,False
破滅,False
孤苦,False
孤寂,False
空虛,False
疲倦,False
壓迫,False
迷惘,False
恍惚,False
暗淡,False
崩壞,False
苟安,False
悲涼,False
抑鬱,False
孤獨,False
悲戚,False
無望,False
絕情,False
乏善,False
怨念,False
愧疚,False
窘迫,False
自卑,False
憂鬱,False
淒涼,False
苦澀,False
焦灼,False
無聊,False
不安,False
僵滯,False
低沉,False
懼怕,False
悲切,False
冤屈,False
無助,False
無措,False
孤單,False
荒涼,False
自私,False
瘋癲,False
煩亂,False
錯愕,False
陰霾,False
鬱卒,False
苦悶,False
怨懟,False
焦躁,False
枯燥,False
拖沓,False
悽慘,False
絕望,False
倉促,False
頹喪,False
羞恥,False
空乏,False
艱難,False
惶恐,False
悔恨,False
愁緒,False
苦痛,False
凌亂,False
疲弱,False
擔憂,False
虛假,False
粗糙,False
偏激,False
吝嗇,False
淡漠,False
慘敗,False
狹隘,False
愚昧,False
暴躁,False
頹廢,False
貪婪,False
煩悶,False
沉悶,False
怯懦,False
悲苦,False
驚愕,False
模糊,False
蹉跎,False
濁亂,False
無力,False
迷茫,False
乏味,False
懶惰,False
無謂,False
冷淡,False
孤高,False
欺瞞,False
紛亂,False
混亂,False
煩躁,False
昏暗,False
膽怯,False
羞辱,False
疏離,False
壓榨,False
苛求,False
衰弱,False
冷酷,False
破滅,False
痛苦,False
荒唐,False
麻木,False
焦慮,False
粗陋,False
潰散,False
